moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,exist_passport,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,public_activity_endorsement,total
Alliance,bostromvaloper1s98k352m8m938kl057a3pxz9cxwr7n4ztjfw36,157128544822,157175692778.84296,0.1,0.08907876666111826,0.0,0,3,False,True,78.0,99.99999999999999,55374840740,78.0,648835351089,0.9985891544689621,640421990015,0.0,0,1.9994001504363865,257486563956,254481481481,1856600227281
Bro_n_Bro,bostromvaloper1ydc5fy9fjdygvgw36u49yj39fr67pd9m5qexm8,24929167695818,24931660861542.113,0.05,0.07753306594223935,6898787.749634,0,1,False,False,1.0,399.99999999999994,221499362961,1.0,8318401937,0.9966967466062961,639208338131,6.838772846457985,717709388817,1.9998000100290396,257538058637,0,1844273550483
Magura,bostromvaloper1mzzy2a5vjv0yrvttzf9uh0geq40z3yg9eqd7gx,3396954094131,3397973384006.3784,0.02,0.00011771722576142033,0.0,1,3,False,False,30.0,2500.0,1384371018507,30.0,249552058111,0.008636217499916499,5538637759,0.0,0,1.4994001501000487,193095610481,0,1832557324858
A-gaming,bostromvaloper17mzu2rmfnr3ge0r8l8d4w62fk39v9t5s8f7asf,6038849385365,6053360753575.88,0.05,0.010494116554319336,1084602.07638,0,24,False,True,10.0,399.99999999999994,221499362961,10.0,83184019370,0.5384823970890863,345343194234,6.03527083193879,633384181254,1.9952112635697277,256947111118,254481481481,1794839350418
baddeepbeat,bostromvaloper13hepw93y8mjcew7mfra5z7ju7k658534lh5rkk,4315725327078,4322204088741.474,0.042,0.004054868259618442,502464.307641,0,15,False,True,21.0,566.8934240362811,313916330727,21.0,174686440677,0.25827278240172413,165637257857,5.701106081574714,598314559242,1.9970043496950765,257178028168,254481481481,1764214098152
Jake,bostromvaloper1c4hg4hhewynsj999960z9uz39dyp0lkrad9g8x,817136632216,817463567474.8926,0.1,0.031127509357916607,0.0,0,4,False,True,74.0,99.99999999999999,55374840740,74.0,615561743341,0.8990933703821731,576612676888,0.0,0,1.9992002826917838,257460824607,254481481481,1759491567057
Link,bostromvaloper152mfglllt6ntxwrasjesyuez3v9aypahd3z84g,364367075479,364512858620.2028,0.1,0.04529629380564387,0.0,1,4,False,True,75.0,99.99999999999999,55374840740,75.0,623880145278,0.9644762669166086,618544480898,0.0,0,1.4992002806730818,193069870915,254481481481,1745350819312
👽 Deep Fields,bostromvaloper12nlsf4477v02hzlt57fldvshnke738usv6kxvd,3184158305127,3184795232182.261,0.05,0.027641903783891635,45.158375,0,2,False,True,31.0,399.99999999999994,221499362961,31.0,257870460048,0.869545495696771,557662832879,1.6642505111321748,174658267499,1.9996000600859238,257512308702,254481481481,1723684713570
PLap,bostromvaloper1wm4026rxqcrkh09k806m6y4lys942etxvz4a4p,2995201934181,2996999684084.0693,0.1,0.022804236751294924,1141.213821,0,6,False,True,33.0,99.99999999999999,55374840740,33.0,274507263922,0.8136778770232416,521833431600,3.057747410904676,320901728235,1.9988006600584036,257409360442,254481481481,1684508106420
GreatWeb,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,4569176083271,4573290397915.059,0.05,0.0002975970214801965,14444656.382091999,0,10,False,True,18.0,399.99999999999994,221499362961,18.0,149731234866,0.021689093237797108,13909796827,7.1597072451188435,751390523764,1.9982015294961069,257332203266,254481481481,1648344603165
g0g0stake,bostromvaloper13er6djw40xer2syx4qfw3fcl9fantzs39955ck,289370102736,290587982187.5964,0.1,0.06879769043093782,3.146742,0,42,False,False,76.0,99.99999999999999,55374840740,76.0,632198547215,0.9937125592395526,637294498787,0.6177070154792982,64826560919,1.9916353916413856,256486603512,0,1646181051173
poorbuthappy,bostromvaloper1r28nhrkwcvqs4qss2l7zqdvc2qfdl8arglv6nn,5691202746455,5693479796291.537,0.025,0.00040627541787019385,3984.739871,0,4,False,False,12.0,1599.9999999999998,885997451844,12.0,99820823244,0.029491850380055973,18913914120,3.600508951094078,377862978744,1.9992002801181594,257460824276,0,1640055992228
2WAy,bostromvaloper1ahqvg92jdt09dkfwwct0frg0dh2euafktp88qx,108558796767,108678283067.1048,0.09,0.11467490989900389,0.0,0,11,False,False,79.0,123.4567901234568,68364000913,79.0,657153753026,0.999786005366073,641189562575,0.0,0,1.997802309492767,257280790953,0,1623988107467
goto5k,bostromvaloper10trdf5eyfcmc9graltx4hmpgznhrm7hd6adf6s,2877999958503,2879151445997.1235,0.1,0.01042335610998541,9050.60564,0,4,False,True,35.0,99.99999999999999,55374840740,35.0,291144067796,0.5360698425071473,343795958317,3.9567256243698834,415246886150,1.9992002801847488,257460824284,254481481481,1617504058768
POSTHUMAN 🧬 StakeDrop,bostromvaloper1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zt56fhc,9167545209052,9173047660482.662,0.05,0.005857633841279201,329402.786562,0,6,False,True,7.0,399.99999999999994,221499362961,7.0,58228813559,0.3505350517567596,224807524107,5.517728587163821,579069622703,1.998800660083349,257409360446,254481481481,1595496165257
Spectrum,bostromvaloper15n3t80p7eseld809f7fu3s9tlcezlymk3rmt4s,3543465641775,3544883381866.341,0.1,0.008407575962011178,32933.547730000006,0,4,False,True,29.0,99.99999999999999,55374840740,29.0,241233656174,0.4617828041371351,296153689489,4.517651703917992,474114452417,1.9992002802725644,257460824296,254481481481,1578818944597
Serebrum,bostromvaloper10qmxjnffkup7ghyrxnf994gvja8wsdf6cnkr2k,230712975477,232287225790.84857,0.1,0.04772339715283,0.0,0,68,False,False,77.0,99.99999999999999,55374840740,77.0,640516949152,0.9702935133672259,622275236967,0.0,0,1.986491587503318,255824174607,0,1573991201466
acjoin,bostromvaloper1gwzgfe9uaarhswswhgwm6kxhvlak4nwzwadepr,1068318639500,1068746073554.0177,0.1,0.015829977720799658,0.0,0,4,False,True,67.0,99.99999999999999,55374840740,67.0,557332929782,0.6885124355669994,441561479176,0.0,0,1.9992002804208506,257460824315,254481481481,1566211555494
resilence,bostromvaloper1543scm94u4k3kxrkpk9cqr098z3na4flr6eugh,819395871451,819559774860.7198,0.1,0.012125439617368327,0.0,0,2,False,True,73.0,99.99999999999999,55374840740,73.0,607243341404,0.5907525969103746,378865474381,0.0,0,1.9996000608491036,257512308800,254481481481,1553477446806
yernero,bostromvaloper1yv0stv3nfgjpwvc79x85y9lmztqtqqv3e2f34v,904519306982,904971702118.2189,0.1,0.011271604565321777,0.0,0,5,False,True,71.0,99.99999999999999,55374840740,71.0,590606537530,0.5641784971881159,361822791962,0.0,0,1.9990004503808234,257435089821,254481481481,1519720741534
Kerman,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,2678863853200,2681544189688.516,0.1,0.08630315129558747,0.0,0,10,False,True,37.0,99.99999999999999,55374840740,37.0,307780871670,0.9982689916670568,640216661029,0.0,0,1.9980018998499802,257306494580,254481481481,1515160349500
fynar,bostromvaloper19fy9tdjve7fru77fnaf9c77edzt9exwlnl2pet,1053908066979,1056757605017.9523,0.1,0.011287855334574496,0.0,0,27,False,True,69.0,99.99999999999999,55374840740,69.0,573969733656,0.5647000379514462,362157270032,0.0,0,1.9946142878031798,256870231440,254481481481,1502853557349
blockv,bostromvaloper1ydhwaq09dmvp2g6f33tpph5lddq4xwg8cv9pw8,1046578019378,1047101464899.4204,0.1,0.010567090319336852,0.0,0,5,False,True,70.0,99.99999999999999,55374840740,70.0,582288135593,0.5409572741715198,346930399241,0.0,0,1.9990004508562351,257435089882,254481481481,1496509946937
Mordor,bostromvaloper1vmwdqm6c4qq2hw0y2s6fevvf90qrh35srdduj3,2179614816904,2183760196717.5737,0.09,0.000458704906135732,96849.80258699998,0,19,False,True,43.0,123.4567901234568,68364000913,43.0,357691283292,0.03323383390199475,21313748450,4.986103223998455,523277081695,1.996207051230201,257075350552,254481481481,1482202946383
csaxial,bostromvaloper1ezpth4mp3eeqdt49kgqd5ctr69xev6v2s737vq,1238600729935,1239592056320.4644,0.1,0.013600142396883626,0.0,0,8,False,True,61.0,99.99999999999999,55374840740,61.0,507422518159,0.6328906521133189,405889738612,0.0,0,1.9984011998322952,257357917193,254481481481,1480526496185
Proxier,bostromvaloper1vx9qctuxswd6ydcv4z5pcuuvct7y9l0nc6e649,2010331726132,2027290474800.1287,0.09,0.02073554889779564,0.543894,0,84,False,True,45.0,123.4567901234568,68364000913,45.0,374328087167,0.782998650200673,502158021141,0.18861747942239968,19794857778,1.983339519450563,255418245273,254481481481,1474544693753
Hafiz,bostromvaloper156ag46x9k07pjcxsqkgxfp7ttxgw8nyvhtvjgy,1206977277760,1207339443203.4036,0.1,0.01205750851416923,0.0,0,3,False,True,62.0,99.99999999999999,55374840740,62.0,515740920096,0.5886990358632338,377548470640,0.0,0,1.999400150262491,257486563934,254481481481,1460632276891
Divergence,bostromvaloper1nl9kqej48n7je0dwnaxr2778ardxcpp3r29p7t,1055101032335,1055312083887.8251,0.1,0.009630826236149179,0.0,0,2,False,True,68.0,99.99999999999999,55374840740,68.0,565651331719,0.5081716480863765,325904098478,0.0,0,1.9996000605849624,257512308766,254481481481,1458924061184
alinode,bostromvaloper1jdmfxzpnqqlhjsju3mz7qsgvvdparw5aque52f,2217155602008,2229607121452.5522,0.1,0.005608205197568779,369.420147,0,56,False,True,42.0,99.99999999999999,55374840740,42.0,349372881355,0.3384884464952187,217081713266,2.568694599751191,269577053169,1.988861938238065,256129432895,254481481481,1402017402906
