,operator_address,current_delegation,calculated_delegation,diff
68,bostromvaloper1mln0yvsm653nwyw3qaedhf2s38tagy5g60jkgh,888884364351.0,758960487684,-129923876667.0
64,bostromvaloper10jmsqhf7mwquv0wa08hegxqaasvue5tnpghpd0,909765623727.0,779184412902,-130581210825.0
24,bostromvaloper1kn8tm2zj68tnv2vm3t6e5nnjrghqhql295zu9g,1348712113491.0,1202054976563,-146657136928.0
1,bostromvaloper1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zt56fhc,3972911679421.0,3820256384111,-152655295310.0
72,bostromvaloper16wcy0dlqx58n3j6gfm2l28t949ka5l4legnuur,848842978764.0,692721955051,-156121023713.0
47,bostromvaloper19wgu7vy9ym07c3h06s49xg89j7v77amsq5uepp,1159924330287.0,997397748950,-162526581337.0
69,bostromvaloper107jv9wtq5mwhgwktnl8hhktl2kveggltdj269z,915899355389.0,749153325934,-166746029455.0
73,bostromvaloper1v46pz6ddetfc3tnvdr28ss0l48jhazgytkxwga,854954054322.0,660739430435,-194214623887.0
40,bostromvaloper1ch4gcnqtzfd6l2kq0qdw7g9hnd09dg34pc4d8n,1287490685449.0,1071676809172,-215813876277.0
13,bostromvaloper13hepw93y8mjcew7mfra5z7ju7k658534lh5rkk,1570665076429.0,1352998345299,-217666731130.0
27,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,1400833988092.0,1162186280355,-238647707737.0
21,bostromvaloper1nmr4flrrzrka3lanfwxklunsapr92fqqvewuaj,1513300179504.0,1251676764164,-261623415340.0
74,bostromvaloper1nkh6h5cevm3xnky4elvkr7zd5gdzhlc9jvzm34,913275897381.0,646691433200,-266584464181.0
55,bostromvaloper13jh45qvk2fw0fw6l35md22a0hvy02ag0hcq9xc,1175103010063.0,906869046698,-268233963365.0
56,bostromvaloper1m0tjgkrh4td9fcp8nnssu3rfdahzfgds026q0x,1142010038857.0,867396712068,-274613326789.0
70,bostromvaloper1pt0x7tu4df8jyp3kjs970m3e97xkks96mvs04z,1009928302835.0,707468338721,-302459964114.0
